Hora Apertura,Hora Cierre,Tipo,Precio Apertura,Precio Cierre,Precio Máximo,Cambio Balance,Pérdida Máxima,Balance Final,Resultado
2024-06-22 20:00:00,2024-06-22 21:10:00,Buy (Stop loss),4571.219,4553.64,4585.153,-8.789499999999862,8.789499999999862,41.21050000000014,0
2024-06-22 21:15:00,2024-06-22 22:10:00,Buy (Stop loss),4556.484,4526.816,4559.349,-14.834000000000287,14.834000000000287,26.37649999999985,0
2024-06-22 22:15:00,2024-06-23 03:00:00,Buy (Stop loss),4529.514,4513.359,4551.291,-8.077499999999873,8.077499999999873,18.298999999999978,0
2024-06-23 03:05:00,2024-06-23 03:40:00,Buy (Stop loss),4516.268,4500.711,4524.101,-7.7784999999998945,7.7784999999998945,10.520500000000084,0
2024-06-23 03:45:00,2024-06-23 19:00:00,Buy (Stop loss),4501.052,4484.771,4528.619,-8.140499999999975,8.140499999999975,2.380000000000109,0
2024-06-23 19:05:00,2024-06-24 17:50:00,Buy (Stop loss),4486.59,4461.874,4589.007,-12.358000000000175,12.358000000000175,-9.978000000000065,0
2024-06-24 17:55:00,2024-06-24 20:45:00,Buy (Stop loss),4464.575,4446.516,4485.885,-9.029500000000098,9.029500000000098,-19.007500000000164,0
2024-06-24 20:50:00,2024-06-24 21:50:00,Buy (Stop loss),4449.362,4433.235,4462.439,-8.063500000000204,8.063500000000204,-27.071000000000367,0
2024-06-24 21:55:00,2024-06-26 01:45:00,Buy (Stop loss),4435.988,4416.626,4510.956,-9.68100000000004,9.68100000000004,-36.75200000000041,0
2024-06-26 01:50:00,2024-06-26 05:50:00,Buy (Stop loss),4413.537,4396.899,4445.099,-8.31899999999996,8.31899999999996,-45.07100000000037,0
2024-06-26 05:55:00,2024-06-26 15:55:00,Buy (Stop loss),4399.511,4384.087,4426.378,-7.711999999999989,7.711999999999989,-52.78300000000036,0
2024-06-26 16:00:00,2024-06-27 01:20:00,Buy (Stop loss),4382.087,4366.411,4415.073,-7.838000000000193,7.838000000000193,-60.62100000000055,0
2024-06-27 01:25:00,2024-06-27 02:10:00,Buy (Stop loss),4361.933,4331.109,4368.845,-15.411999999999807,15.411999999999807,-76.03300000000036,0
2024-06-27 02:15:00,2024-07-02 15:40:00,Buy (Stop loss),4333.704,4315.426,4491.32,-9.138999999999669,9.138999999999669,-85.17200000000003,0
2024-07-02 15:45:00,2024-07-06 12:50:00,Buy (Stop loss),4318.064,4301.009,4439.598,-8.527500000000146,8.527500000000146,-93.69950000000017,0
2024-07-06 12:55:00,2024-07-06 14:10:00,Buy (Stop loss),4299.82,4271.843,4302.526,-13.98849999999993,13.98849999999993,-107.6880000000001,0
2024-07-06 14:15:00,2024-07-06 20:20:00,Buy (Stop loss),4273.0,4257.254,4282.693,-7.873000000000047,7.873000000000047,-115.56100000000015,0
2024-07-06 20:25:00,2024-07-07 00:10:00,Buy (Stop loss),4259.904,4244.89,4271.353,-7.507000000000062,7.507000000000062,-123.06800000000021,0
2024-07-07 00:15:00,2024-07-07 03:00:00,Buy (Stop loss),4246.928,4229.831,4262.332,-8.548499999999876,8.548499999999876,-131.6165000000001,0
2024-07-07 03:05:00,2024-07-07 04:30:00,Buy (Stop loss),4232.469,4216.884,4235.092,-7.792500000000018,7.792500000000018,-139.4090000000001,0
2024-07-07 04:35:00,2024-07-07 04:45:00,Buy (Stop loss),4214.975,4197.07,4214.975,-8.952500000000327,8.952500000000327,-148.36150000000043,0
2024-07-07 04:50:00,2024-07-07 06:05:00,Buy (Stop loss),4193.695,4174.841,4198.809,-9.42699999999968,9.42699999999968,-157.7885000000001,0
2024-07-07 06:10:00,2024-07-07 06:55:00,Buy (Stop loss),4177.376,4161.321,4177.376,-8.027500000000146,8.027500000000146,-165.81600000000026,0
2024-07-07 07:00:00,2024-07-07 08:45:00,Buy (Stop loss),4147.543,4131.829,4148.38,-7.856999999999971,7.856999999999971,-173.67300000000023,0
2024-07-07 08:50:00,2024-07-07 09:40:00,Buy (Stop loss),4116.735,4098.193,4129.081,-9.27099999999973,9.27099999999973,-182.94399999999996,0
2024-07-07 09:45:00,2024-07-08 10:15:00,Buy (Stop loss),4096.706,4081.052,4154.814,-7.826999999999998,7.826999999999998,-190.77099999999996,0
2024-07-08 10:20:00,2024-07-08 14:45:00,Buy (Stop loss),4083.647,4068.615,4115.677,-7.516000000000076,7.516000000000076,-198.28700000000026,0
2024-07-08 14:50:00,2024-07-08 18:30:00,Buy (Stop loss),4071.167,4051.786,4091.6,-9.690499999999929,9.690499999999929,-207.97749999999996,0
2024-07-08 18:35:00,2024-07-08 20:05:00,Buy (Stop loss),4047.245,4031.83,4049.117,-7.707499999999982,7.707499999999982,-215.68499999999995,0
2024-07-08 20:10:00,2024-07-08 20:30:00,Buy (Stop loss),4032.796,4016.452,4032.796,-8.171999999999798,8.171999999999798,-223.85699999999952,0
2024-07-08 20:35:00,2024-07-09 20:40:00,Buy (Stop loss),4018.695,4003.275,4093.41,-7.710000000000036,7.710000000000036,-231.56699999999978,0
2024-07-09 20:45:00,2024-09-02 09:50:00,Buy (Stop loss),4005.726,3989.207,4442.832,-8.259500000000116,8.259500000000116,-239.8264999999999,0
2024-09-02 09:55:00,2024-09-02 19:15:00,Buy (Stop loss),3989.252,3971.215,4007.252,-9.018499999999904,9.018499999999904,-248.8449999999998,0
2024-09-02 19:20:00,2024-09-02 23:50:00,Buy (Stop loss),3968.198,3949.526,3983.131,-9.336000000000013,9.336000000000013,-258.1809999999996,0
2024-09-02 23:55:00,2024-09-04 03:15:00,Buy (Stop loss),3936.071,3920.494,3996.436,-7.788499999999885,7.788499999999885,-265.96949999999947,0
2024-09-04 03:20:00,2024-09-04 05:45:00,Buy (Stop loss),3915.181,3898.875,3925.25,-8.15300000000002,8.15300000000002,-274.1224999999995,0
2024-09-04 05:50:00,2024-09-04 07:10:00,Buy (Stop loss),3901.159,3886.022,3908.805,-7.5685000000000855,7.5685000000000855,-281.69099999999935,0
2024-09-04 07:15:00,2024-09-04 13:50:00,Buy (Stop loss),3888.179,3872.521,3893.35,-7.828999999999951,7.828999999999951,-289.5199999999993,0
2024-09-04 13:55:00,2024-09-04 15:45:00,Buy (Stop loss),3874.849,3857.016,3878.523,-8.916500000000042,8.916500000000042,-298.43649999999957,0
2024-09-04 15:50:00,2024-09-04 20:00:00,Buy (Stop loss),3859.389,3841.384,3886.225,-9.002500000000055,9.002500000000055,-307.4389999999994,0
2024-09-04 20:05:00,2024-09-05 14:30:00,Buy (Stop loss),3839.429,3817.775,3880.548,-10.826999999999998,10.826999999999998,-318.2659999999994,0
2024-09-05 14:35:00,2024-09-05 15:15:00,Buy (Stop loss),3814.32,3798.005,3817.761,-8.157500000000027,8.157500000000027,-326.4234999999994,0
2024-09-05 15:20:00,2024-09-06 16:30:00,Buy (Stop loss),3800.276,3783.151,3882.444,-8.5625,8.5625,-334.9859999999994,0
