Hora Apertura,Hora Cierre,Tipo,Precio Apertura,Precio Cierre,Razón Cierre,Beneficio,Balance Final
2025-01-29 22:15:00,2025-01-29 22:25:00,BUY,4255.785,4256.921,Cambio de tendencia,0.568000000000211,50.56800000000021
2025-01-29 22:25:00,2025-01-29 22:40:00,SELL,4256.921,4250.384,Cambio de tendencia,3.268500000000131,53.83650000000034
2025-01-29 22:40:00,2025-01-29 22:40:00,BUY,4250.384,4250.882,Cambio de tendencia,0.24899999999979627,54.08550000000014
2025-01-29 22:40:00,2025-01-29 22:40:00,BUY,4250.882,4251.409,Cambio de tendencia,0.26350000000002183,54.34900000000016
2025-01-29 22:40:00,2025-01-29 22:40:00,BUY,4251.409,4251.874,Cambio de tendencia,0.23250000000007276,54.58150000000023
2025-01-29 22:40:00,2025-01-29 22:40:00,BUY,4251.874,4252.364,Cambio de tendencia,0.24499999999989086,54.826500000000124
2025-01-29 22:40:00,2025-01-29 22:55:00,BUY,4252.364,4254.137,Cambio de tendencia,0.8865000000000691,55.71300000000019
2025-01-29 22:55:00,2025-01-29 22:55:00,SELL,4254.137,4254.717,Cambio de tendencia,-0.2899999999999636,55.42300000000023
2025-01-29 22:55:00,2025-01-29 23:05:00,SELL,4254.717,4256.494,Cambio de tendencia,-0.8885000000000218,54.53450000000021
2025-01-29 23:05:00,2025-01-29 23:05:00,SELL,4256.494,4257.017,Cambio de tendencia,-0.2615000000000691,54.27300000000014
2025-01-29 23:05:00,2025-01-29 23:35:00,SELL,4257.017,4263.692,Cambio de tendencia,-3.337500000000091,50.93550000000005
2025-01-29 23:35:00,2025-01-29 23:35:00,SELL,4263.692,4263.706,Cambio de tendencia,-0.007000000000061846,50.928499999999985
2025-01-29 23:35:00,2025-01-30 00:10:00,SELL,4263.706,4272.717,Cambio de tendencia,-4.505499999999756,46.42300000000023
